profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,profile_8,profile_9,profile_10,profile_11,profile_12,profile_13,profile_14,profile_15,profile_16,profile_17,profile_18,profile_19,profile_20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0142,0.0139,0.0139,0.0139,0.0136,0.0131,0.0141,0.0131,0.0143,0.0121
0.0269,0.0269,0.0269,0.0269,0.0269,0.0269,0.0269,0.0269,0.0269,0.0269,0.0256,0.0268,0.0247,0.026,0.0269,0.0262,0.0252,0.0255,0.0273,0.0256
0.0383,0.0383,0.0383,0.0383,0.0383,0.0383,0.0383,0.0383,0.0383,0.0383,0.0371,0.0366,0.033,0.0407,0.0387,0.033,0.0334,0.0341,0.0397,0.0333
0.0852,0.0852,0.0852,0.0852,0.0852,0.0852,0.0852,0.0852,0.0852,0.0852,0.0769,0.0856,0.0823,0.0855,0.0774,0.075,0.071,0.0766,0.0756,0.0858
0.0835,0.0835,0.0835,0.0835,0.0835,0.0835,0.0835,0.0835,0.0835,0.0835,0.0809,0.083,0.0879,0.0739,0.0751,0.0758,0.0797,0.0713,0.0741,0.0779
0.1243,0.1243,0.1243,0.1243,0.1243,0.1243,0.1243,0.1243,0.1243,0.1243,0.1286,0.1322,0.1165,0.1259,0.1038,0.122,0.1186,0.1255,0.1213,0.1046
0.1091,0.1091,0.1091,0.1091,0.1091,0.1091,0.1091,0.1091,0.1091,0.1091,0.1046,0.116,0.1053,0.1008,0.1011,0.0919,0.1,0.1071,0.0999,0.1068
0.2068,0.2068,0.2068,0.2068,0.2068,0.2068,0.2068,0.2068,0.2068,0.2068,0.1806,0.2035,0.2116,0.1973,0.1916,0.1761,0.2068,0.1821,0.222,0.2024
0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.127,0.1467,0.1305,0.1397,0.1177,0.1175,0.1392,0.1215,0.1467,0.135
0.1009,0.1009,0.1009,0.1009,0.1009,0.1009,0.1009,0.1009,0.1009,0.1009,0.0891,0.1023,0.1013,0.0953,0.0898,0.0878,0.0934,0.1,0.1044,0.096
0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.1691,0.172,0.1489,0.1701,0.1476,0.1602,0.1698,0.1523,0.1755,0.144
0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.2611,0.2679,0.2867,0.2651,0.2397,0.2496,0.2419,0.2675,0.2764,0.2365
0.4517,0.4517,0.4517,0.4517,0.4517,0.4517,0.4517,0.4517,0.4517,0.4517,0.4459,0.4805,0.4406,0.4354,0.4268,0.3764,0.4141,0.4517,0.4094,0.4214
0.6144,0.6144,0.6144,0.6144,0.6144,0.6144,0.6144,0.6144,0.6144,0.6144,0.6298,0.6413,0.5698,0.568,0.5073,0.6087,0.5461,0.5467,0.6598,0.5957
0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6263,0.6621,0.619,0.6183,0.5939,0.6282,0.5533,0.6282,0.6439,0.6092
0.7006,0.7006,0.7006,0.7006,0.7006,0.7006,0.7006,0.7006,0.7006,0.7006,0.6252,0.7174,0.6767,0.7236,0.6042,0.6163,0.6098,0.6878,0.7041,0.6409
0.9051,0.9051,0.9051,0.9051,0.9051,0.9051,0.9051,0.9051,0.9051,0.9051,0.8763,0.8908,0.8309,0.9258,0.8636,0.771,0.8967,0.7889,0.9274,0.7451
0.6338,0.6338,0.6338,0.6338,0.6338,0.6338,0.6338,0.6338,0.6338,0.6338,0.5956,0.5923,0.5576,0.667,0.5757,0.5693,0.534,0.6047,0.6806,0.5624
0.7417,0.7417,0.7417,0.7417,0.7417,0.7417,0.7417,0.7417,0.7417,0.7417,0.7745,0.7521,0.7801,0.6711,0.7145,0.6318,0.6181,0.6533,0.7673,0.6513
0.8374,0.8374,0.8374,0.8374,0.8374,0.8374,0.8374,0.8374,0.8374,0.8374,0.7869,0.8991,0.8247,0.8154,0.7913,0.8529,0.7288,0.7068,0.8332,0.7277
0.9228,0.9228,0.9228,0.9228,0.9228,0.9228,0.9228,0.9228,0.9228,0.9228,0.9372,0.9082,0.9529,0.8168,0.872,0.9142,0.9142,0.8381,1.0,0.8694
0.9683,0.9683,0.9683,0.9683,0.9683,0.9683,0.9683,0.9683,0.9683,0.9683,0.9835,0.876,1.0,1.0,0.915,0.9504,0.8607,0.915,0.8968,0.9212
