profile_1,profile_2,profile_3
0.1,0.1,0.35
0.1,0.1,0.31
0.1,0.1,0.26
0.1,0.1,0.24
0.1,0.1,0.26
0.1,0.1,0.35
0.1,0.1,0.42
0.1,0.1,0.51
0.19,0.14,0.56
0.19,0.14,0.63
0.19,0.14,0.67
0.19,0.14,0.75
0.19,0.14,0.85
0.19,0.14,0.92
0.19,0.14,0.95
0.19,0.14,0.72
0.19,0.14,0.6
0.19,0.14,0.56
0.19,0.14,0.56
0.19,0.14,0.4
0.19,0.14,0.47
0.19,0.14,0.49
0.1,0.1,0.46
0.1,0.1,
